,Date,daynight_category,temp
2218,2013-07-03,day,14.763461538461534
2219,2013-07-03,night,15.731818181818182
2220,2013-07-04,day,13.061538461538458
2221,2013-07-04,night,14.15
2222,2013-07-05,day,13.95384615384615
2223,2013-07-05,night,13.868181818181819
2224,2013-07-06,day,13.930769230769222
2225,2013-07-06,night,13.57727272727273
2226,2013-07-07,day,14.18653846153846
2227,2013-07-07,night,14.897727272727273
2228,2013-07-08,day,14.892307692307698
2229,2013-07-08,night,15.309090909090912
2230,2013-07-09,day,16.125000000000007
2231,2013-07-09,night,16.08409090909091
2232,2013-07-10,day,15.328846153846147
2233,2013-07-10,night,15.740909090909089
2234,2013-07-11,day,14.840384615384618
2235,2013-07-11,night,14.877272727272725
2236,2013-07-12,day,13.469230769230771
2237,2013-07-12,night,13.413636363636362
2238,2013-07-13,day,13.826923076923077
2239,2013-07-13,night,13.645454545454548
2240,2013-07-14,day,15.524999999999999
2241,2013-07-14,night,15.293181818181814
2242,2013-07-15,day,16.057692307692307
2243,2013-07-15,night,15.854545454545457
2244,2013-07-16,day,15.782692307692304
2245,2013-07-16,night,15.511363636363637
2246,2013-07-17,day,14.913461538461538
2247,2013-07-17,night,14.434090909090905
2248,2013-07-18,day,15.536538461538468
2249,2013-07-18,night,14.872727272727277
2250,2013-07-19,day,15.95576923076923
2251,2013-07-19,night,16.036363636363635
2252,2013-07-20,day,15.771153846153844
2253,2013-07-20,night,16.03409090909091
2254,2013-07-21,day,15.744230769230771
2255,2013-07-21,night,16.075
2256,2013-07-22,day,16.294230769230772
2257,2013-07-22,night,15.904545454545458
2258,2013-07-23,day,17.103846153846153
2259,2013-07-23,night,16.53863636363636
2260,2013-07-24,day,17.517307692307693
2261,2013-07-24,night,16.997727272727275
2262,2013-07-25,day,17.2673076923077
2263,2013-07-25,night,16.92954545454546
2264,2013-07-26,day,16.90576923076923
2265,2013-07-26,night,16.48181818181818
2266,2013-07-27,day,16.55
2267,2013-07-27,night,16.14090909090909
2268,2013-07-28,day,14.565384615384609
2269,2013-07-28,night,14.759090909090917
2270,2013-07-29,day,15.780769230769225
2271,2013-07-29,night,15.404545454545458
2272,2013-07-30,day,16.080769230769235
2273,2013-07-30,night,15.995454545454544
2274,2013-07-31,day,15.500000000000002
2275,2013-07-31,night,15.286363636363637
2276,2013-08-01,day,14.19615384615385
2277,2013-08-01,night,13.709090909090907
2278,2013-08-02,day,13.903846153846157
2279,2013-08-02,night,13.17727272727272
2280,2013-08-03,day,13.505769230769229
2281,2013-08-03,night,13.19090909090909
2282,2013-08-04,day,16.996153846153856
2283,2013-08-04,night,15.759090909090906
2284,2013-08-05,day,17.557692307692307
2285,2013-08-05,night,17.00227272727273
2286,2013-08-06,day,17.446808510638295
2287,2013-08-06,night,16.825000000000003
2288,2013-08-07,day,17.03461538461539
2289,2013-08-07,night,16.59318181818182
2290,2013-08-08,day,16.892307692307693
2291,2013-08-08,night,16.60227272727273
2292,2013-08-09,day,17.015384615384612
2293,2013-08-09,night,16.670454545454547
2294,2013-08-10,day,17.05961538461539
2295,2013-08-10,night,16.697727272727274
2296,2013-08-11,day,16.70384615384615
2297,2013-08-11,night,16.290909090909096
2298,2013-08-12,day,16.059615384615384
2299,2013-08-12,night,15.695454545454549
2300,2013-08-13,day,17.467307692307692
2301,2013-08-13,night,16.647727272727273
2302,2013-08-14,day,16.607692307692307
2303,2013-08-14,night,16.370454545454546
2304,2013-08-15,day,15.159615384615394
2305,2013-08-15,night,15.05227272727273
2306,2013-08-16,day,16.20576923076923
2307,2013-08-16,night,15.840909090909093
2308,2013-08-17,day,16.61538461538461
2309,2013-08-17,night,15.870454545454548
2310,2013-08-18,day,16.703846153846158
2311,2013-08-18,night,15.979545454545457
2312,2013-08-19,day,17.088461538461537
2313,2013-08-19,night,16.36363636363636
2314,2013-08-20,day,16.909615384615385
2315,2013-08-20,night,16.44545454545455
2316,2013-08-21,day,16.088461538461537
2317,2013-08-21,night,15.859090909090908
2318,2013-08-22,day,16.115384615384613
2319,2013-08-22,night,15.645454545454545
2320,2013-08-23,day,15.248076923076933
2321,2013-08-23,night,14.877272727272725
2322,2013-08-24,day,15.401923076923074
2323,2013-08-24,night,14.58409090909091
2324,2013-08-25,day,14.930769230769231
2325,2013-08-25,night,14.559090909090912
2326,2013-08-26,day,14.821153846153845
2327,2013-08-26,night,14.420454545454545
2328,2013-08-27,day,15.913461538461544
2329,2013-08-27,night,15.479545454545452
2330,2013-08-28,day,16.567307692307697
2331,2013-08-28,night,16.24772727272727
2332,2013-08-29,day,15.51346153846154
2333,2013-08-29,night,15.363636363636367
2334,2013-08-30,day,14.573076923076924
2335,2013-08-30,night,14.054545454545451
2336,2013-08-31,day,15.311538461538463
2337,2013-08-31,night,14.699999999999996
2338,2013-09-01,day,16.32692307692307
2339,2013-09-01,night,15.813636363636364
2340,2013-09-02,day,16.6423076923077
2341,2013-09-02,night,16.174999999999997
2342,2013-09-03,day,15.659615384615382
2343,2013-09-03,night,15.540909090909093
2344,2013-09-04,day,15.648076923076921
2345,2013-09-04,night,15.06818181818182
2346,2013-09-05,day,15.596153846153847
2347,2013-09-05,night,14.688636363636364
2348,2013-09-06,day,13.730769230769234
2349,2013-09-06,night,13.777272727272726
2350,2013-09-07,day,13.538461538461538
2351,2013-09-07,night,13.638636363636362
2352,2013-09-08,day,14.484615384615383
2353,2013-09-08,night,14.20227272727273
2354,2013-09-09,day,15.555769230769231
2355,2013-09-09,night,15.222727272727267
2356,2013-09-10,day,15.467307692307692
2357,2013-09-10,night,15.197727272727274
2358,2013-09-11,day,16.22692307692307
2359,2013-09-11,night,15.718181818181817
2360,2013-09-12,day,16.174999999999997
2361,2013-09-12,night,16.093181818181815
2362,2013-09-13,day,15.211538461538462
2363,2013-09-13,night,14.884090909090917
2364,2013-09-14,day,15.217307692307683
2365,2013-09-14,night,14.852272727272727
2366,2013-09-15,day,14.838461538461539
2367,2013-09-15,night,14.188636363636364
2368,2013-09-16,day,14.747058823529409
2369,2013-09-16,night,14.100000000000007
2370,2013-09-17,day,13.290384615384617
2371,2013-09-17,night,13.259090909090908
2372,2013-09-18,day,13.307692307692303
2373,2013-09-18,night,12.813636363636363
2374,2013-09-19,day,12.873076923076923
2375,2013-09-19,night,12.827272727272732
2376,2013-09-20,day,13.230769230769226
2377,2013-09-20,night,13.188636363636368
2378,2013-09-21,day,14.353846153846153
2379,2013-09-21,night,13.788636363636362
2380,2013-09-22,day,12.976923076923079
2381,2013-09-22,night,12.993181818181819
2382,2013-09-23,day,11.84615384615384
2383,2013-09-23,night,11.911363636363637
