,species,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,release_stage,release_strategy,release_location_name,hatchery_location_name,tagged_adclipped,tagged_unclipped,untagged_adclipped,untagged_unclipped,untagged_unknown,tag_loss_rate,tag_loss_days,tag_loss_sample_size,species_name,total,prop_untagged_unclipped,age
1088,6,2009,2010-05-05,2010-05-05,3F10806  180028 R,,E,,HURD CR      18.0028,,0,0,28595,1939,0,,,,pink,30534,0.06350298028427327,0
745,6,2009,2010-05-05,2010-05-05,3F10806  180028 R,,E,,HURD CR      18.0028,,0,0,28785,1952,0,,,,pink,30737,0.06350652308292937,0
996,2,2008,2010-05-19,2010-05-26,3F10806  180018 R,3F10806  180018 H,Y,MX,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,438019,3354,0,,,,coho,441373,0.007599014892166037,1
1111,3,2009,2010-05-19,2010-05-26,3F10806  180018 R,3F10806  180018 H,S,MX,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,4489,86,0,,,,steelhead,4575,0.018797814207650275,0
936,2,2008,2010-05-19,2010-05-26,3F10806  180018 R,3F10806  180018 H,Y,MX,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,29466,226,0,,,,coho,29692,0.007611477839148592,1
967,2,2008,2010-05-19,2010-05-26,3F10806  180018 R,3F10806  180018 H,Y,MX,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,29467,226,0,,,,coho,29693,0.007611221500016839,1
494,2,2008,2010-05-19,2010-05-26,3F10806  180018 R,3F10806  180018 H,Y,MX,DUNGENESS R  18.0018,DUNGENESS HATCHERY,9962,76,19,0,0,0.0019,,515.0,coho,10057,0.0,1
924,2,2008,2010-05-19,2010-05-26,3F10806  180018 R,3F10806  180018 H,Y,MX,DUNGENESS R  18.0018,DUNGENESS HATCHERY,9944,76,38,0,0,0.0038,,533.0,coho,10058,0.0,1
498,2,2008,2010-05-19,2010-05-26,3F10806  180018 R,3F10806  180018 H,Y,MX,DUNGENESS R  18.0018,DUNGENESS HATCHERY,9878,76,46,0,0,0.0046,,431.0,coho,10000,0.0,1
758,2,2008,2010-05-19,2010-05-26,3F10806  180018 R,3F10806  180018 H,Y,MX,DUNGENESS R  18.0018,DUNGENESS HATCHERY,8967,69,91,0,0,0.01,,499.0,coho,9127,0.0,1
1031,1,2009,2010-06-02,2010-06-03,3F10806  180018 R,3F10806  180018 H,,MX,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,49694,0,706,0,0.013999999999999999,,500.0,chinook,50400,0.014007936507936507,0
