"","start_datetime","end_datetime","In","midpoint","StartDate","EndDate","chum0_mixed_num","steelheadsmolt_wild_num","steelheadsmolt_hatchery_num","coho1_wild_num","coho1_hatchery_num","coho0_wild_num","chinook1_hatchery_num","chinook0_wild_num","chinook0_hatchery_num"
"120",2017-03-27 19:00:00,2017-03-28 07:45:00,12.75,2017-03-28 01:22:30,2017-03-27,2017-03-28,100,0,0,0,0,33,0,149,1
"121",2017-03-28 07:45:00,2017-03-28 17:30:00,9.75,2017-03-28 12:37:30,2017-03-28,2017-03-28,31,0,0,0,0,4,0,35,0
"122",2017-03-28 17:30:00,2017-03-29 09:00:00,15.5,2017-03-29 01:15:00,2017-03-28,2017-03-29,85,0,0,0,0,53,0,159,0
"123",2017-03-29 09:00:00,2017-03-29 17:30:00,8.5,2017-03-29 13:15:00,2017-03-29,2017-03-29,24,0,0,0,0,9,0,76,0
"124",2017-03-29 17:30:00,2017-03-30 09:45:00,16.25,2017-03-30 01:37:30,2017-03-29,2017-03-30,162,1,0,0,0,59,0,309,1
"125",2017-03-30 09:45:00,2017-03-30 17:50:00,8.08333333333333,2017-03-30 13:47:30,2017-03-30,2017-03-30,24,0,0,0,0,4,0,29,0
"126",2017-03-30 17:50:00,2017-03-31 09:00:00,15.1666666666667,2017-03-31 01:25:00,2017-03-30,2017-03-31,139,1,0,0,0,49,0,199,0
"127",2017-03-31 09:00:00,2017-03-31 18:00:00,9,2017-03-31 13:30:00,2017-03-31,2017-03-31,40,0,0,0,0,1,0,36,2
"128",2017-03-31 18:00:00,2017-04-01 07:30:00,13.5,2017-04-01 00:45:00,2017-03-31,2017-04-01,88,0,0,0,0,64,0,119,0
"129",2017-04-01 07:30:00,2017-04-01 19:00:00,11.5,2017-04-01 13:15:00,2017-04-01,2017-04-01,51,0,0,0,0,5,0,64,1
"130",2017-04-01 19:00:00,2017-04-02 08:00:00,13,2017-04-02 01:30:00,2017-04-01,2017-04-02,97,0,0,0,0,21,0,148,0
"131",2017-04-02 08:00:00,2017-04-02 19:00:00,11,2017-04-02 13:30:00,2017-04-02,2017-04-02,47,0,0,0,0,5,0,114,0
"132",2017-04-02 19:00:00,2017-04-03 08:30:00,13.5,2017-04-03 01:45:00,2017-04-02,2017-04-03,111,0,0,0,0,33,0,182,0
"133",2017-04-03 08:30:00,2017-04-03 19:00:00,10.5,2017-04-03 13:45:00,2017-04-03,2017-04-03,66,0,0,0,0,1,0,92,0
"134",2017-04-03 19:00:00,2017-04-04 08:15:00,13.25,2017-04-04 01:37:30,2017-04-03,2017-04-04,78,2,0,0,0,17,0,134,0
"135",2017-04-04 08:15:00,2017-04-04 17:15:00,9,2017-04-04 12:45:00,2017-04-04,2017-04-04,32,0,0,0,0,1,0,59,0
"136",2017-04-04 17:15:00,2017-04-05 09:20:00,16.0833333333333,2017-04-05 01:17:30,2017-04-04,2017-04-05,263,0,0,0,0,21,0,144,0
"137",2017-04-05 09:20:00,2017-04-05 17:45:00,8.41666666666667,2017-04-05 13:32:30,2017-04-05,2017-04-05,41,0,0,0,0,0,0,51,0
"138",2017-04-05 17:45:00,2017-04-06 09:00:00,15.25,2017-04-06 01:22:30,2017-04-05,2017-04-06,387,0,0,0,0,31,0,113,0
"139",2017-04-06 09:00:00,2017-04-06 17:30:00,8.5,2017-04-06 13:15:00,2017-04-06,2017-04-06,137,0,0,0,0,1,0,95,0
"140",2017-04-06 17:30:00,2017-04-07 09:15:00,15.75,2017-04-07 01:22:30,2017-04-06,2017-04-07,1228,2,0,0,0,30,0,268,0
"141",2017-04-07 09:15:00,2017-04-07 17:15:00,8,2017-04-07 13:15:00,2017-04-07,2017-04-07,45,0,0,0,0,0,0,42,0
