"","start_datetime","end_datetime","In","midpoint","StartDate","EndDate","chum0_mixed_num","steelheadsmolt_wild_num","steelheadsmolt_hatchery_num","coho1_mixed_num","coho1_hatchery_num","coho0_wild_num","chinook1_hatchery_num","chinook0_wild_num","chinook0_hatchery_num"
"51",2021-03-02 09:00:00,2021-03-02 16:45:00,7.75,2021-03-02 12:52:30,2021-03-02,2021-03-02,25,0,0,0,0,0,0,21,0
"52",2021-03-02 16:45:00,2021-03-03 08:30:00,15.75,2021-03-03 00:37:30,2021-03-02,2021-03-03,138,0,0,4,0,1,0,49,0
"53",2021-03-03 08:30:00,2021-03-03 16:45:00,8.25,2021-03-03 12:37:30,2021-03-03,2021-03-03,25,0,0,0,0,0,0,11,0
"54",2021-03-03 16:45:00,2021-03-04 08:00:00,15.25,2021-03-04 00:22:30,2021-03-03,2021-03-04,51,0,0,2,0,1,0,18,0
"55",2021-03-04 08:00:00,2021-03-04 16:45:00,8.75,2021-03-04 12:22:30,2021-03-04,2021-03-04,10,0,0,0,0,0,0,9,0
"56",2021-03-04 16:45:00,2021-03-05 08:30:00,15.75,2021-03-05 00:37:30,2021-03-04,2021-03-05,108,0,0,1,0,0,0,26,0
"57",2021-03-05 08:30:00,2021-03-05 17:00:00,8.5,2021-03-05 12:45:00,2021-03-05,2021-03-05,18,0,0,0,0,0,0,5,0
"58",2021-03-05 17:00:00,2021-03-06 08:00:00,15,2021-03-06 00:30:00,2021-03-05,2021-03-06,262,0,0,2,1,4,0,22,0
"59",2021-03-06 08:00:00,2021-03-06 17:10:00,9.16666666666667,2021-03-06 12:35:00,2021-03-06,2021-03-06,57,0,0,0,0,0,0,16,0
"60",2021-03-06 17:10:00,2021-03-07 08:00:00,14.8333333333333,2021-03-07 00:35:00,2021-03-06,2021-03-07,216,0,0,3,0,1,0,27,0
"61",2021-03-07 08:00:00,2021-03-07 17:00:00,9,2021-03-07 12:30:00,2021-03-07,2021-03-07,44,0,0,0,0,0,0,8,0
"62",2021-03-07 17:00:00,2021-03-08 07:45:00,14.75,2021-03-08 00:22:30,2021-03-07,2021-03-08,314,0,0,0,0,6,0,46,0
"63",2021-03-08 07:45:00,2021-03-08 17:00:00,9.25,2021-03-08 12:22:30,2021-03-08,2021-03-08,15,0,0,0,0,0,0,9,0
"64",2021-03-08 17:00:00,2021-03-09 08:30:00,15.5,2021-03-09 00:45:00,2021-03-08,2021-03-09,401,0,0,0,0,0,0,59,0
"65",2021-03-09 08:30:00,2021-03-09 17:00:00,8.5,2021-03-09 12:45:00,2021-03-09,2021-03-09,43,0,0,0,0,0,0,7,0
"66",2021-03-09 17:00:00,2021-03-10 08:30:00,15.5,2021-03-10 00:45:00,2021-03-09,2021-03-10,273,0,0,0,0,6,0,54,0
"67",2021-03-10 08:30:00,2021-03-10 17:30:00,9,2021-03-10 13:00:00,2021-03-10,2021-03-10,37,0,0,0,0,1,0,9,0
"68",2021-03-10 17:30:00,2021-03-11 08:00:00,14.5,2021-03-11 00:45:00,2021-03-10,2021-03-11,374,0,0,0,0,2,0,39,0
"69",2021-03-11 08:00:00,2021-03-11 17:45:00,9.75,2021-03-11 12:52:30,2021-03-11,2021-03-11,46,0,0,0,0,0,0,9,0
"70",2021-03-11 17:45:00,2021-03-12 08:15:00,14.5,2021-03-12 01:00:00,2021-03-11,2021-03-12,372,0,0,0,0,5,0,31,0
"71",2021-03-12 08:15:00,2021-03-12 17:30:00,9.25,2021-03-12 12:52:30,2021-03-12,2021-03-12,26,0,0,0,0,0,0,2,0
"72",2021-03-12 17:30:00,2021-03-13 08:00:00,14.5,2021-03-13 00:45:00,2021-03-12,2021-03-13,525,0,0,1,0,6,0,40,0
"73",2021-03-13 08:00:00,2021-03-13 17:30:00,9.5,2021-03-13 12:45:00,2021-03-13,2021-03-13,46,0,0,0,0,0,0,6,0
"74",2021-03-13 17:30:00,2021-03-14 07:45:00,13.25,2021-03-14 00:07:30,2021-03-13,2021-03-14,425,0,0,0,0,7,0,23,0
"75",2021-03-14 07:45:00,2021-03-14 18:30:00,10.75,2021-03-14 13:07:30,2021-03-14,2021-03-14,77,0,0,0,0,3,0,5,0
"76",2021-03-14 18:30:00,2021-03-15 08:00:00,13.5,2021-03-15 01:15:00,2021-03-14,2021-03-15,687,0,0,0,0,9,0,28,0
"77",2021-03-15 08:00:00,2021-03-15 16:00:00,8,2021-03-15 12:00:00,2021-03-15,2021-03-15,80,0,0,0,0,0,0,9,0
"78",2021-03-15 16:00:00,2021-03-16 08:00:00,16,2021-03-16 00:00:00,2021-03-15,2021-03-16,1046,0,0,0,0,10,0,47,0
"79",2021-03-16 08:00:00,2021-03-16 16:30:00,8.5,2021-03-16 12:15:00,2021-03-16,2021-03-16,71,0,0,0,0,5,0,10,0
"80",2021-03-16 16:30:00,2021-03-17 09:10:00,16.6666666666667,2021-03-17 00:50:00,2021-03-16,2021-03-17,931,0,0,0,0,12,0,46,0
"81",2021-03-17 09:10:00,2021-03-17 18:30:00,9.33333333333333,2021-03-17 13:50:00,2021-03-17,2021-03-17,30,0,0,0,0,0,0,3,0
"82",2021-03-17 18:30:00,2021-03-18 08:00:00,13.5,2021-03-18 01:15:00,2021-03-17,2021-03-18,698,0,0,0,0,12,0,53,0
"83",2021-03-18 08:00:00,2021-03-18 18:00:00,10,2021-03-18 13:00:00,2021-03-18,2021-03-18,55,0,0,0,0,0,0,5,0
"84",2021-03-18 18:00:00,2021-03-19 08:00:00,14,2021-03-19 01:00:00,2021-03-18,2021-03-19,962,0,0,0,0,13,0,60,0
"85",2021-03-19 08:00:00,2021-03-19 18:00:00,10,2021-03-19 13:00:00,2021-03-19,2021-03-19,60,0,0,0,0,0,0,8,0
"86",2021-03-19 18:00:00,2021-03-20 08:30:00,14.5,2021-03-20 01:15:00,2021-03-19,2021-03-20,989,0,0,0,0,10,0,50,0
"87",2021-03-20 08:30:00,2021-03-20 18:45:00,10.25,2021-03-20 13:37:30,2021-03-20,2021-03-20,43,0,0,0,0,0,0,3,0
"88",2021-03-20 18:45:00,2021-03-21 08:30:00,13.75,2021-03-21 01:37:30,2021-03-20,2021-03-21,1079,0,0,0,0,5,0,38,0
"89",2021-03-21 08:30:00,2021-03-21 18:45:00,10.25,2021-03-21 13:37:30,2021-03-21,2021-03-21,64,0,0,0,0,1,0,3,0
"90",2021-03-21 18:45:00,2021-03-22 08:00:00,13.25,2021-03-22 01:22:30,2021-03-21,2021-03-22,956,0,0,0,0,7,0,26,0
"91",2021-03-22 08:00:00,2021-03-22 18:50:00,10.8333333333333,2021-03-22 13:25:00,2021-03-22,2021-03-22,171,0,0,0,0,0,0,12,0
"92",2021-03-22 18:50:00,2021-03-23 09:00:00,14.1666666666667,2021-03-23 01:55:00,2021-03-22,2021-03-23,2604,0,0,1,0,17,0,138,0
"93",2021-03-23 09:00:00,2021-03-23 19:00:00,10,2021-03-23 14:00:00,2021-03-23,2021-03-23,27,0,0,0,0,2,0,9,0
"94",2021-03-23 19:00:00,2021-03-24 09:40:00,14.6666666666667,2021-03-24 02:20:00,2021-03-23,2021-03-24,331,0,0,0,0,4,0,16,0
"95",2021-03-24 09:40:00,2021-03-24 18:45:00,9.08333333333333,2021-03-24 14:12:30,2021-03-24,2021-03-24,54,0,0,0,0,1,0,1,0
"96",2021-03-24 18:45:00,2021-03-25 07:30:00,12.75,2021-03-25 01:07:30,2021-03-24,2021-03-25,1724,0,0,0,0,17,0,103,0
"97",2021-03-25 07:30:00,2021-03-25 18:35:00,11.0833333333333,2021-03-25 13:02:30,2021-03-25,2021-03-25,335,0,0,0,0,1,0,29,0
"98",2021-03-25 18:35:00,2021-03-26 07:30:00,12.9166666666667,2021-03-26 01:02:30,2021-03-25,2021-03-26,2645,0,0,1,0,23,0,116,0
"99",2021-03-26 07:30:00,2021-03-26 19:30:00,12,2021-03-26 13:30:00,2021-03-26,2021-03-26,36,0,0,0,0,0,0,10,0
"100",2021-03-26 19:30:00,2021-03-27 08:15:00,12.75,2021-03-27 01:52:30,2021-03-26,2021-03-27,1444,0,0,0,0,4,0,33,0
"101",2021-03-27 08:15:00,2021-03-27 18:50:00,10.5833333333333,2021-03-27 13:32:30,2021-03-27,2021-03-27,53,0,0,0,0,1,0,2,0
"102",2021-03-27 18:50:00,2021-03-28 09:00:00,14.1666666666667,2021-03-28 01:55:00,2021-03-27,2021-03-28,2914,0,0,0,0,11,0,43,0
"103",2021-03-28 09:00:00,2021-03-28 18:45:00,9.75,2021-03-28 13:52:30,2021-03-28,2021-03-28,23,0,0,0,0,0,0,1,0
"104",2021-03-28 18:45:00,2021-03-29 09:15:00,14.5,2021-03-29 02:00:00,2021-03-28,2021-03-29,4941,0,0,1,0,12,0,143,0
"105",2021-03-29 09:15:00,2021-03-29 18:45:00,9.5,2021-03-29 14:00:00,2021-03-29,2021-03-29,32,0,0,0,0,0,0,1,0
"106",2021-03-29 18:45:00,2021-03-30 09:00:00,14.25,2021-03-30 01:52:30,2021-03-29,2021-03-30,1340,0,0,2,0,6,0,56,0
"107",2021-03-30 09:00:00,2021-03-30 19:00:00,10,2021-03-30 14:00:00,2021-03-30,2021-03-30,88,0,0,1,0,1,0,5,0
