"","start_datetime","end_datetime","In","midpoint","StartDate","EndDate","pink0_wild_num","chum0_mixed_num","steelheadsmolt_wild_num","steelheadsmolt_hatchery_num","coho1_mixed_num","coho1_hatchery_num","coho0_wild_num","chinook1_wild_num","chinook1_hatchery_num","chinook0_wild_num","chinook0_hatchery_num"
"47",2022-02-14 08:30:00,2022-02-14 17:00:00,8.5,2022-02-14 12:45:00,2022-02-14,2022-02-14,6,1,0,0,0,0,0,0,0,1,0
"48",2022-02-14 17:00:00,2022-02-15 08:00:00,15,2022-02-15 00:30:00,2022-02-14,2022-02-15,210,19,0,0,1,0,1,0,0,16,0
"49",2022-02-15 08:00:00,2022-02-15 17:15:00,9.25,2022-02-15 12:37:30,2022-02-15,2022-02-15,17,4,0,0,0,0,0,0,0,3,0
"50",2022-02-15 17:15:00,2022-02-16 08:10:00,14.9166666666667,2022-02-16 00:42:30,2022-02-15,2022-02-16,178,10,0,0,1,0,0,0,0,6,0
"51",2022-02-16 08:10:00,2022-02-16 17:20:00,9.16666666666667,2022-02-16 12:45:00,2022-02-16,2022-02-16,25,3,0,0,0,0,0,0,0,0,0
"52",2022-02-16 17:20:00,2022-02-17 08:00:00,14.6666666666667,2022-02-17 00:40:00,2022-02-16,2022-02-17,364,35,0,0,1,0,0,0,0,22,0
"53",2022-02-17 08:00:00,2022-02-17 17:15:00,9.25,2022-02-17 12:37:30,2022-02-17,2022-02-17,31,4,0,0,0,0,0,0,0,0,0
"54",2022-02-17 17:15:00,2022-02-18 08:00:00,14.75,2022-02-18 00:37:30,2022-02-17,2022-02-18,366,5,0,0,1,0,0,0,0,2,0
"55",2022-02-18 08:00:00,2022-02-18 17:15:00,9.25,2022-02-18 12:37:30,2022-02-18,2022-02-18,24,3,0,0,0,0,0,0,1,0,0
"56",2022-02-18 17:15:00,2022-02-19 08:10:00,14.9166666666667,2022-02-19 00:42:30,2022-02-18,2022-02-19,359,21,0,0,5,0,1,0,0,3,0
"57",2022-02-19 08:10:00,2022-02-19 17:00:00,8.83333333333333,2022-02-19 12:35:00,2022-02-19,2022-02-19,26,6,0,0,0,0,0,0,0,0,0
"58",2022-02-19 17:00:00,2022-02-20 08:00:00,15,2022-02-20 00:30:00,2022-02-19,2022-02-20,686,61,0,0,0,0,0,0,0,1,0
"59",2022-02-20 08:00:00,2022-02-20 17:00:00,9,2022-02-20 12:30:00,2022-02-20,2022-02-20,89,17,0,0,0,0,0,0,0,3,0
"60",2022-02-20 17:00:00,2022-02-21 08:00:00,15,2022-02-21 00:30:00,2022-02-20,2022-02-21,387,32,0,0,0,0,0,0,0,38,0
"61",2022-02-21 08:00:00,2022-02-21 16:50:00,8.83333333333333,2022-02-21 12:25:00,2022-02-21,2022-02-21,26,5,0,0,0,0,0,0,0,9,0
"62",2022-02-21 16:50:00,2022-02-22 07:50:00,15,2022-02-22 00:20:00,2022-02-21,2022-02-22,194,8,0,0,1,0,0,0,0,7,0
"63",2022-02-22 07:50:00,2022-02-22 17:00:00,9.16666666666667,2022-02-22 12:25:00,2022-02-22,2022-02-22,7,5,0,0,0,0,0,0,0,1,0
"64",2022-02-22 17:00:00,2022-02-23 08:30:00,15.5,2022-02-23 00:45:00,2022-02-22,2022-02-23,144,25,0,0,1,0,0,0,0,14,0
"65",2022-02-23 08:30:00,2022-02-23 17:20:00,8.83333333333333,2022-02-23 12:55:00,2022-02-23,2022-02-23,6,2,0,0,0,0,0,0,0,16,0
"66",2022-02-23 17:20:00,2022-02-24 08:00:00,14.6666666666667,2022-02-24 00:40:00,2022-02-23,2022-02-24,102,34,0,0,0,0,0,0,0,9,0
"67",2022-02-24 08:00:00,2022-02-24 17:10:00,9.16666666666667,2022-02-24 12:35:00,2022-02-24,2022-02-24,2,5,0,0,0,0,0,0,0,4,0
"68",2022-02-24 17:10:00,2022-02-25 08:00:00,14.8333333333333,2022-02-25 00:35:00,2022-02-24,2022-02-25,114,29,0,0,4,0,0,0,0,7,0
"69",2022-02-25 08:00:00,2022-02-25 17:10:00,9.16666666666667,2022-02-25 12:35:00,2022-02-25,2022-02-25,4,0,0,0,0,0,0,0,0,1,0
