"","start_datetime","end_datetime","In","midpoint","StartDate","EndDate","pink0_wild","chum0_mixed_num","steelheadsmolt_wild_num","steelheadsmolt_hatchery_num","coho1_mixed_num","coho0_wild_num","chinook1_wild_num","chinook1_hatchery_num","chinook0_wild_num","chinook0_hatchery_num"
"82",2020-03-19 07:15:00,2020-03-19 18:15:00,11,2020-03-19 12:45:00,2020-03-19,2020-03-19,46,13,0,0,0,0,0,0,0,0
"83",2020-03-19 18:15:00,2020-03-20 08:00:00,13.75,2020-03-20 01:07:30,2020-03-19,2020-03-20,783,68,0,0,1,2,0,0,4,0
"84",2020-03-20 08:00:00,2020-03-20 18:00:00,10,2020-03-20 13:00:00,2020-03-20,2020-03-20,58,26,0,0,0,0,0,0,1,0
"85",2020-03-20 18:00:00,2020-03-21 08:00:00,14,2020-03-21 01:00:00,2020-03-20,2020-03-21,1156,71,0,0,0,0,0,0,0,0
"86",2020-03-21 08:00:00,2020-03-21 18:45:00,10.75,2020-03-21 13:22:30,2020-03-21,2020-03-21,75,15,0,0,0,0,0,0,1,0
"87",2020-03-21 18:45:00,2020-03-22 08:00:00,13.25,2020-03-22 01:22:30,2020-03-21,2020-03-22,1434,135,0,0,0,1,0,0,1,0
"88",2020-03-22 08:00:00,2020-03-22 18:30:00,10.5,2020-03-22 13:15:00,2020-03-22,2020-03-22,44,44,0,0,0,0,0,0,0,0
"89",2020-03-22 18:30:00,2020-03-23 08:00:00,13.5,2020-03-23 01:15:00,2020-03-22,2020-03-23,2928,27,0,0,0,1,0,0,0,0
"90",2020-03-23 08:00:00,2020-03-23 18:30:00,10.5,2020-03-23 13:15:00,2020-03-23,2020-03-23,72,4,0,0,0,0,0,0,1,0
"91",2020-03-23 18:30:00,2020-03-24 08:00:00,13.5,2020-03-24 01:15:00,2020-03-23,2020-03-24,3348,428,0,0,0,1,0,0,2,0
"92",2020-03-24 08:00:00,2020-03-24 18:45:00,10.75,2020-03-24 13:22:30,2020-03-24,2020-03-24,43,19,0,0,0,0,0,0,0,0
"93",2020-03-24 18:45:00,2020-03-25 08:00:00,13.25,2020-03-25 01:22:30,2020-03-24,2020-03-25,2676,464,0,0,0,0,0,0,1,0
"94",2020-04-15 13:45:00,2020-04-16 10:15:00,20.5,2020-04-16 00:00:00,2020-04-15,2020-04-16,1880,254,0,0,6,0,0,4,2,0
"95",2020-04-16 10:15:00,2020-04-16 19:00:00,8.75,2020-04-16 14:37:30,2020-04-16,2020-04-16,163,32,0,0,0,0,0,0,0,0
"96",2020-04-16 19:00:00,2020-04-17 10:00:00,15,2020-04-17 02:30:00,2020-04-16,2020-04-17,2230,324,0,4,6,0,0,1,1,0
"97",2020-04-17 10:00:00,2020-04-17 18:30:00,8.5,2020-04-17 14:15:00,2020-04-17,2020-04-17,124,25,0,0,0,0,0,0,0,0
"98",2020-04-17 18:30:00,2020-04-18 09:30:00,15,2020-04-18 02:00:00,2020-04-17,2020-04-18,2170,402,0,0,0,0,0,3,2,0
"99",2020-04-18 09:30:00,2020-04-18 18:30:00,9,2020-04-18 14:00:00,2020-04-18,2020-04-18,38,637,0,0,0,0,0,0,0,0
"100",2020-04-18 18:30:00,2020-04-19 09:15:00,14.75,2020-04-19 01:52:30,2020-04-18,2020-04-19,5160,466,0,0,3,0,0,0,2,0
"101",2020-04-19 09:15:00,2020-04-19 18:30:00,9.25,2020-04-19 13:52:30,2020-04-19,2020-04-19,201,189,0,0,0,0,0,0,0,0
"102",2020-04-19 18:30:00,2020-04-20 11:00:00,16.5,2020-04-20 02:45:00,2020-04-19,2020-04-20,2700,385,0,0,1,0,0,2,4,0
"103",2020-04-20 11:00:00,2020-04-20 19:00:00,8,2020-04-20 15:00:00,2020-04-20,2020-04-20,220,31,0,0,1,0,0,0,2,0
"104",2020-04-20 19:00:00,2020-04-21 09:15:00,14.25,2020-04-21 02:07:30,2020-04-20,2020-04-21,2225,143,0,3,2,0,0,0,1,3
"105",2020-04-21 09:15:00,2020-04-21 18:45:00,9.5,2020-04-21 14:00:00,2020-04-21,2020-04-21,134,21,0,0,1,0,0,0,0,0
"106",2020-04-21 18:45:00,2020-04-22 10:30:00,15.75,2020-04-22 02:37:30,2020-04-21,2020-04-22,2669,89,0,0,2,0,0,0,0,2
"107",2020-04-22 10:30:00,2020-04-22 19:00:00,8.5,2020-04-22 14:45:00,2020-04-22,2020-04-22,67,15,0,0,1,0,0,0,0,0
"108",2020-04-22 19:00:00,2020-04-23 12:30:00,17.5,2020-04-23 03:45:00,2020-04-22,2020-04-23,1915,1918,0,1,5,0,0,0,1,1
"109",2020-04-23 12:30:00,2020-04-23 18:30:00,6,2020-04-23 15:30:00,2020-04-23,2020-04-23,92,19,0,0,0,0,0,0,0,0
"110",2020-04-23 18:30:00,2020-04-24 08:30:00,14,2020-04-24 01:30:00,2020-04-23,2020-04-24,194,93,0,0,3,0,0,0,6,2
"111",2020-04-24 08:30:00,2020-04-24 18:15:00,9.75,2020-04-24 13:22:30,2020-04-24,2020-04-24,83,8,0,0,1,0,0,0,0,0
"112",2020-04-24 18:15:00,2020-04-25 08:00:00,13.75,2020-04-25 01:07:30,2020-04-24,2020-04-25,186,16,0,1,4,2,0,0,2,2
"113",2020-04-25 08:00:00,2020-04-25 19:00:00,11,2020-04-25 13:30:00,2020-04-25,2020-04-25,103,8,0,0,1,10,0,0,0,0
"114",2020-04-25 19:00:00,2020-04-26 08:15:00,13.25,2020-04-26 01:37:30,2020-04-25,2020-04-26,84,610,0,0,9,10,0,0,3,0
"115",2020-04-26 08:15:00,2020-04-26 19:00:00,10.75,2020-04-26 13:37:30,2020-04-26,2020-04-26,67,39,0,0,0,4,0,0,1,0
"116",2020-04-26 19:00:00,2020-04-27 08:15:00,13.25,2020-04-27 01:37:30,2020-04-26,2020-04-27,135,112,0,0,7,4,0,0,1,0
"117",2020-04-27 08:15:00,2020-04-27 19:00:00,10.75,2020-04-27 13:37:30,2020-04-27,2020-04-27,72,30,0,0,0,0,0,0,0,0
"118",2020-04-27 19:00:00,2020-04-28 08:30:00,13.5,2020-04-28 01:45:00,2020-04-27,2020-04-28,32,17,0,2,38,0,0,0,2,2
"119",2020-04-28 08:30:00,2020-04-28 18:00:00,9.5,2020-04-28 13:15:00,2020-04-28,2020-04-28,28,8,0,0,0,0,0,0,0,0
"120",2020-04-28 18:00:00,2020-04-29 08:00:00,14,2020-04-29 01:00:00,2020-04-28,2020-04-29,35,10,0,0,85,0,0,0,0,0
"121",2020-04-29 08:00:00,2020-04-29 18:00:00,10,2020-04-29 13:00:00,2020-04-29,2020-04-29,26,4,0,0,0,0,0,0,0,0
"122",2020-04-29 18:00:00,2020-04-30 08:00:00,14,2020-04-30 01:00:00,2020-04-29,2020-04-30,17,6,0,0,17,0,0,0,0,0
"123",2020-04-30 08:00:00,2020-04-30 18:00:00,10,2020-04-30 13:00:00,2020-04-30,2020-04-30,17,14,0,0,0,0,0,0,0,0
