"","StartDate","EndDate","StartTime","EndTime","chinook0_wild_num","chinook0_hatchery_num","chinook1_wild_num","chum0_wild_num","coho0_wild_num","coho1_wild_num","coho1_hatchery_num","steelheadsmolt_wild_num","sockeye0_wild_num","sockeye1_wild_num","pink0_wild_num","start_datetime","end_datetime","In","midpoint"
"64",2015-03-22,2015-03-23,1899-12-30 19:40:00,1899-12-30 08:00:00,89,0,0,890,3,0,0,1,0,0,0,2015-03-22 19:40:00,2015-03-23 08:00:00,12.3333333333333,2015-03-23 01:50:00
"65",2015-03-23,2015-03-24,1899-12-30 20:00:00,1899-12-30 08:00:00,107,0,0,944,0,1,0,0,0,0,0,2015-03-23 20:00:00,2015-03-24 08:00:00,12,2015-03-24 02:00:00
"66",2015-03-24,2015-03-25,1899-12-30 20:00:00,1899-12-30 08:00:00,40,0,2,498,2,0,0,0,1,0,0,2015-03-24 20:00:00,2015-03-25 08:00:00,12,2015-03-25 02:00:00
"67",2015-03-25,2015-03-26,1899-12-30 19:30:00,1899-12-30 07:30:00,169,0,1,900,13,2,0,0,0,1,0,2015-03-25 19:30:00,2015-03-26 07:30:00,12,2015-03-26 01:30:00
"68",2015-03-26,2015-03-27,1899-12-30 19:30:00,1899-12-30 07:30:00,71,0,0,520,19,2,0,0,0,0,0,2015-03-26 19:30:00,2015-03-27 07:30:00,12,2015-03-27 01:30:00
"69",2015-03-27,2015-03-28,1899-12-30 20:30:00,1899-12-30 07:30:00,107,0,2,1194,3,2,0,0,0,0,0,2015-03-27 20:30:00,2015-03-28 07:30:00,11,2015-03-28 02:00:00
"70",2015-03-28,2015-03-28,1899-12-30 07:45:00,1899-12-30 20:00:00,91,0,5,1110,3,4,0,0,0,0,0,2015-03-28 07:45:00,2015-03-28 20:00:00,12.25,2015-03-28 13:52:30
"71",2015-03-28,2015-03-29,1899-12-30 20:15:00,1899-12-30 07:30:00,187,0,1,510,38,4,0,1,0,2,0,2015-03-28 20:15:00,2015-03-29 07:30:00,11.25,2015-03-29 01:52:30
"72",2015-03-29,2015-03-30,1899-12-30 20:30:00,1899-12-30 07:30:00,127,0,0,720,9,4,0,0,1,0,0,2015-03-29 20:30:00,2015-03-30 07:30:00,11,2015-03-30 02:00:00
"73",2015-03-30,2015-03-31,1899-12-30 20:00:00,1899-12-30 07:30:00,44,0,0,440,3,2,0,0,0,0,0,2015-03-30 20:00:00,2015-03-31 07:30:00,11.5,2015-03-31 01:45:00
